,Welcome to our Food Waste datasheet,Unnamed: 1
0,updated 22nd Nov,
1,,
2,See the infographic,https://informationisbeautiful.net/visualizations/food-waste/
3,,
4,contents,link
5,sources,https://docs.google.com/spreadsheets/d/1Dy8S-rn5kgZUFr1v1pfXSQuplrZhsFUax25YerqGk10/edit#gid=1678377018
6,editorial structure,https://docs.google.com/spreadsheets/d/1Dy8S-rn5kgZUFr1v1pfXSQuplrZhsFUax25YerqGk10/edit#gid=897695959
7,most wasted food type - global data,https://docs.google.com/spreadsheets/d/1Dy8S-rn5kgZUFr1v1pfXSQuplrZhsFUax25YerqGk10/edit#gid=49483856
8,emissions from food waste would be the 4th biggest country ,https://docs.google.com/spreadsheets/d/1Dy8S-rn5kgZUFr1v1pfXSQuplrZhsFUax25YerqGk10/edit#gid=2144739313
9,Most UK waste in dumped or incinerated,https://docs.google.com/spreadsheets/d/1Dy8S-rn5kgZUFr1v1pfXSQuplrZhsFUax25YerqGk10/edit#gid=121020912
10,good news on food waste (UK),https://docs.google.com/spreadsheets/d/1Dy8S-rn5kgZUFr1v1pfXSQuplrZhsFUax25YerqGk10/edit#gid=1935830857
11,food waste - all countries ranked,https://docs.google.com/spreadsheets/d/1Dy8S-rn5kgZUFr1v1pfXSQuplrZhsFUax25YerqGk10/edit#gid=1595749477
