,original,merged categories,animal feed,biofuels %,total % redirected,adjusted totals,display totals
Startch Veg,834.7,834.7,,,,834.7,834.7
Whole Grains,2667.0,2667.0,0.41,0.11,0.52,1280.1599999999999,1280.1599999999999
Vegetables,1130.0,2013.0,,,,1130.0,2013.0
Fruit,883.0,,,,,883.0,
milk & Dairy,841.0,841.0,,,,841.0,841.0
red meat,212.0,212.0,,,,212.0,212.0
Poultry,134.0,371.9,,,,134.0,371.9
Fish & Seafood,155.0,,,,,155.0,
eggs,82.9,,,,,82.9,
Legumes & nuts,440.0,440.0,0.062,0.003,0.065,411.40000000000003,416.70000000000005
Nuts,5.3,5.3,,,,5.3,
,,,,,,,
,,,,,,,
animal feed,,,,,,,1120.75
biofuels,,,,,,,294.69
